stage,overall,math,physics,chemistry,biology,cs,easy,medium,hard,total_problems,elapsed_s,timestamp
base,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,2026-03-28T10:32:43.711835
gspo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,2026-03-28T10:32:43.711835
base,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,2026-03-28T10:47:29.050495
gspo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,2026-03-28T10:47:29.051998
base,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,2026-03-29T11:01:17.725634
gspo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,2026-03-29T11:01:17.726634
base,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,2026-03-30T12:17:44.942914
gspo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,2026-03-30T12:17:44.943430
base,0.9007,1.0000,0.9667,0.9000,0.8000,0.8621,0.9400,0.9200,0.8293,141,602,2026-03-30T16:20:47.056891
gspo,0.8682,0.8182,0.9259,0.9200,0.7857,0.8889,0.9200,0.8043,0.8788,129,11458,2026-03-30T16:20:47.057890
base,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,2026-03-30T23:32:03.439487
gspo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,2026-03-30T23:32:03.440485
base,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,2026-03-31T10:50:03.274312
gspo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,2026-03-31T10:50:03.274312
base,0.9021,1.0000,0.9667,0.9000,0.8000,0.8621,0.9400,0.9200,0.8372,143,0,2026-03-31T11:51:46.264905
gspo,0.8794,0.8261,0.9000,0.9655,0.8000,0.8966,0.9200,0.8400,0.8780,141,3676,2026-03-31T11:51:46.265910
